title_1,description_1,title_2,description_2,label,title_similarity,description_similarity,combined_similarity
Air conditioner problem,There is a strong burning smell and possible fire near Lab 2.,The room is hot and the AC is not working.,A possible gas leak has been reported near Lecture Hall 2. It happened again.,1,0.0,0.050393113228888134,0.015117933968666439
WiFi is not working,There are visible electrical sparks near Lab 3. It happened again.,Air conditioner problem,A possible gas leak has been reported near Lab 3. It happened again.,0,0.0,0.3329264294542462,0.09987792883627386
Projector is not displaying,There is a strong burning smell and possible fire near Lab 1.,Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,1,1.0,0.1076626997785349,0.7322988099335604
WiFi is not working,A possible gas leak has been reported near Lecture Hall 1. It happened again.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.4872459056692181,0.07785938319355601,0.3644299489265195
The presentation is not showing from the computer in Lecture Hall 2.,A possible gas leak has been reported near Lecture Hall 3. It happened again.,General maintenance request,A possible gas leak has been reported near Lab 3.,0,0.0,0.779312948741659,0.2337938846224977
WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.04879150301218242,0.9152546664683159,0.30873045204902244
Furniture needs repair,There is smoke coming from an electrical outlet in Lab 2. It happened again.,Furniture needs repair,There is a strong burning smell and possible fire near Lecture Hall 4.,0,1.0000000000000002,0.07132562750808548,0.7213976882524257
WiFi is not working,There are visible electrical sparks near Lecture Hall 1.,The network connection is unstable in Lab 3.,There are visible electrical sparks near Lab 1. It happened again.,1,0.02918857253363185,0.7615052040539992,0.24888356198974204
WiFi is not working,There are visible electrical sparks near Lecture Hall 2.,WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again. It happened again.,1,1.0000000000000002,0.017758998851605326,0.7053276996554817
The connection keeps dropping in Lab 3.,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,Plumbing problem,A possible gas leak has been reported near Lecture Hall 2.,0,0.0,0.1679244213234656,0.05037732639703968
Furniture needs repair,There is a strong burning smell and possible fire near Lab 1. It happened again.,Electrical problem,A possible gas leak has been reported near Lecture Hall 2.,0,0.0,0.05099135396196107,0.01529740618858832
WiFi is not working,A possible gas leak has been reported near Lecture Hall 1. It happened again.,WiFi is not working,There are visible electrical sparks near Lab 3. It happened again.,1,1.0000000000000002,0.16645918110736,0.7499377543322081
Air conditioner problem,There are visible electrical sparks near Lecture Hall 1.,Air conditioner problem,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,1,1.0,0.11001584496703598,0.7330047534901107
Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 2.,The image is not appearing from the laptop on the display.,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,1,0.06363622551320405,0.14186385620925893,0.08710451472202052
Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,Required software is not working,There is smoke coming from an electrical outlet in Lab 2.,0,0.11293570245525719,0.9064069808747843,0.3509770859811153
